Item_ID,Item_Name,Category,Dispatch_Date,Dispatch_Quantity,Warehouse,Inbound_Date,Inbound_Quantity,Supplier,Lead_Time_Days,Stock_Level_Before_Dispatch,Stock_Level_After_Dispatch
41394-NEW-517-WOR,Work-In-Progress Item 351,WORK-IN-PROGRESS,2024-10-18,36,Warehouse 3,2024-10-13,40,Supplier C,5,142,113
58063-NEW-438-SPA,Spare Parts Item 386,SPARE PARTS,2025-04-29,69,Warehouse 2,2025-04-21,72,Supplier C,6,101,80
46482-NEW-897-PAC,Packaging Materials Item 378,PACKAGING MATERIALS,2024-12-17,86,Warehouse 3,2024-12-12,89,Supplier C,9,171,154
27784-NEW-431-RAW,Raw Materials Item 411,RAW MATERIALS,2024-06-03,53,Warehouse 1,2024-05-25,64,Supplier E,9,196,185
69492-NEW-256-PAC,Packaging Materials Item 317,PACKAGING MATERIALS,2025-02-15,23,Warehouse 2,2025-02-12,31,Supplier C,9,135,124
82766-NEW-207-PAC,Packaging Materials Item 309,PACKAGING MATERIALS,2024-05-04,71,Warehouse 2,2024-05-01,84,Supplier E,3,110,97
80101-012-001-000-000-VACCUM-125G-EB,LEAF TEA 125g/12 ENGLISH BREAKFAST,FINISHED GOODS,2024-03-03,24,Warehouse 1,2024-03-11,38,Supplier E,12,180,194
80347-012-R00-AZE-FMC-0025ST-1.5G-GMM,TAG TBAG 025/1.5g/12 GREEN TEA MOROCCAN MINT,FINISHED GOODS,2024-05-21,30,Warehouse 1,2024-05-15,53,Supplier B,7,298,321
80008-024-005-000-000-0100PT-2.0G-PRM,TAGLESS TBAG 100/2.0g/24 PREMIUM,FINISHED GOODS,2024-03-14,16,Warehouse 1,2024-03-15,18,Supplier A,8,443,445
80624-006-FS0-CHN-RCL-TNCADY-150G-JAS,VIVID T/C 150g/06 JASMINE GREEN TEA,FINISHED GOODS,2024-02-23,24,Warehouse 1,2024-02-13,33,Supplier D,13,201,210
80145-006-001-000-000-0020FE-2.0G-IB,FOIL ENV TBAG 020/2.0g/06 IRISH BREAKFAST,FINISHED GOODS,2024-09-23,42,Warehouse 1,2024-09-15,35,Supplier B,4,124,117
23263-NEW-995-SPA,Spare Parts Item 70,SPARE PARTS,2024-02-02,23,Warehouse 1,2024-01-29,23,Supplier A,7,162,133
59776-NEW-116-WOR,Work-In-Progress Item 349,WORK-IN-PROGRESS,2025-04-15,26,Warehouse 2,2025-04-09,35,Supplier A,7,115,105
89260-NEW-129-PAC,Packaging Materials Item 300,PACKAGING MATERIALS,2024-11-13,45,Warehouse 3,2024-11-04,59,Supplier E,9,116,89
40431-NEW-868-SPA,Spare Parts Item 140,SPARE PARTS,2024-04-19,14,Warehouse 2,2024-04-11,28,Supplier C,4,213,207
98420-NEW-360-RAW,Raw Materials Item 81,RAW MATERIALS,2025-09-26,34,Warehouse 1,2025-09-23,29,Supplier C,5,160,153
33046-NEW-849-WOR,Work-In-Progress Item 384,WORK-IN-PROGRESS,2024-12-17,32,Warehouse 3,2024-12-14,30,Supplier C,2,187,173
68446-NEW-960-CON,Consumables Item 478,CONSUMABLES,2025-01-04,10,Warehouse 2,2024-12-27,12,Supplier E,8,148,136
85884-NEW-888-WOR,Work-In-Progress Item 100,WORK-IN-PROGRESS,2025-07-14,90,Warehouse 3,2025-07-09,89,Supplier D,6,174,164
76597-NEW-196-RAW,Raw Materials Item 459,RAW MATERIALS,2024-06-30,72,Warehouse 1,2024-06-23,73,Supplier D,7,162,142
80121-012-R00-ISL-EKH-0025ST-2.0G-DJ,TAG TBAG 025/2.0g/12 DARJEELING,FINISHED GOODS,2024-01-08,39,Warehouse 1,2024-01-01,35,Supplier B,14,416,412
86915-NEW-102-WOR,Work-In-Progress Item 153,WORK-IN-PROGRESS,2025-06-30,17,Warehouse 2,2025-06-20,13,Supplier A,5,277,260
80314-006-R00-IDN-EWI-0025FE-2.0G-EGOS,FOIL ENV TBAG 025/2.0g/06 EMERALD GREEN-ORGANIC SENCHA GREEN TEA,FINISHED GOODS,2024-01-10,39,Warehouse 1,2024-01-13,41,Supplier C,13,153,155
49412-NEW-709-RAW,Raw Materials Item 424,RAW MATERIALS,2025-04-29,57,Warehouse 1,2025-04-21,63,Supplier C,4,229,211
63536-NEW-870-WOR,Work-In-Progress Item 479,WORK-IN-PROGRESS,2025-03-15,21,Warehouse 1,2025-03-12,30,Supplier D,2,154,131
29392-NEW-987-RAW,Raw Materials Item 77,RAW MATERIALS,2025-08-28,41,Warehouse 1,2025-08-22,36,Supplier E,4,249,239
80032-012-R00-AUS-DAU-0050ST-2.4G-EX.STR,TAG TBAG 050/2.4g/12 EX STR,FINISHED GOODS,2024-04-01,7,Warehouse 1,2024-04-05,42,Supplier B,5,527,562
24861-NEW-075-CON,Consumables Item 467,CONSUMABLES,2024-07-19,94,Warehouse 1,2024-07-13,93,Supplier E,3,246,221
57288-NEW-192-CON,Consumables Item 288,CONSUMABLES,2024-03-24,21,Warehouse 3,2024-03-16,36,Supplier C,9,253,228
60951-NEW-310-CON,Consumables Item 119,CONSUMABLES,2025-04-23,35,Warehouse 1,2025-04-21,46,Supplier B,4,243,234
80039-016-R00-AUS-DAU-0300ST-2.0G-PRM,TAG TBAG 300/2.0g/16 PREMIUM,FINISHED GOODS,2024-08-10,41,Warehouse 1,2024-08-15,30,Supplier B,9,140,129
14513-NEW-317-RAW,Raw Materials Item 309,RAW MATERIALS,2024-12-03,78,Warehouse 2,2024-11-23,90,Supplier A,2,272,267
18176-NEW-740-CON,Consumables Item 211,CONSUMABLES,2025-01-01,34,Warehouse 1,2024-12-30,34,Supplier D,7,157,147
17210-NEW-638-CON,Consumables Item 249,CONSUMABLES,2024-02-12,40,Warehouse 1,2024-02-07,36,Supplier A,9,235,216
42875-NEW-412-RAW,Raw Materials Item 198,RAW MATERIALS,2024-06-07,53,Warehouse 3,2024-05-31,53,Supplier E,9,107,101
41263-NEW-934-RAW,Raw Materials Item 437,RAW MATERIALS,2024-01-23,13,Warehouse 2,2024-01-20,9,Supplier E,8,196,178
37672-NEW-505-WOR,Work-In-Progress Item 22,WORK-IN-PROGRESS,2025-10-03,77,Warehouse 3,2025-09-29,89,Supplier D,6,170,146
99750-NEW-501-WOR,Work-In-Progress Item 60,WORK-IN-PROGRESS,2025-05-30,14,Warehouse 2,2025-05-26,27,Supplier D,10,181,151
57246-NEW-569-CON,Consumables Item 6,CONSUMABLES,2025-01-13,41,Warehouse 3,2025-01-06,44,Supplier B,10,134,129
39601-NEW-127-WOR,Work-In-Progress Item 216,WORK-IN-PROGRESS,2024-05-24,99,Warehouse 1,2024-05-19,94,Supplier D,3,246,222
45915-NEW-131-WOR,Work-In-Progress Item 196,WORK-IN-PROGRESS,2024-02-03,85,Warehouse 3,2024-01-28,83,Supplier B,2,254,230
94835-NEW-800-SPA,Spare Parts Item 37,SPARE PARTS,2025-08-20,93,Warehouse 3,2025-08-17,104,Supplier D,10,171,147
95766-NEW-125-RAW,Raw Materials Item 329,RAW MATERIALS,2024-09-04,85,Warehouse 1,2024-08-27,81,Supplier E,10,248,231
81497-004-FS0-PHL-EIC-0030FE-2.0G-PM,t SACHET 030's/2.0g/04 PURE PEPPERMINT LEAVES,FINISHED GOODS,2024-08-07,33,Warehouse 1,2024-08-01,23,Supplier A,6,135,125
69603-NEW-158-WOR,Work-In-Progress Item 55,WORK-IN-PROGRESS,2024-01-12,22,Warehouse 1,2024-01-08,17,Supplier E,7,292,283
80121-012-R00-ISL-EKH-0025ST-2.0G-DJ,TAG TBAG 025/2.0g/12 DARJEELING,FINISHED GOODS,2024-04-20,49,Warehouse 1,2024-04-23,50,Supplier A,6,417,418
33346-NEW-875-RAW,Raw Materials Item 334,RAW MATERIALS,2024-08-29,73,Warehouse 2,2024-08-20,71,Supplier A,10,251,226
E30816-001,FOIL ENVELOPED 2.0g GREEN ROOIBOS LEMONGRASS & SPEARMINT,FINISHED GOODS,2024-09-29,46,Warehouse 1,2024-09-26,11,Supplier A,11,314,279
96332-NEW-142-WOR,Work-In-Progress Item 482,WORK-IN-PROGRESS,2024-05-07,62,Warehouse 3,2024-05-04,63,Supplier C,6,253,237
72443-NEW-254-PAC,Packaging Materials Item 441,PACKAGING MATERIALS,2024-04-21,70,Warehouse 2,2024-04-16,65,Supplier A,9,169,157
51487-NEW-157-SPA,Spare Parts Item 426,SPARE PARTS,2025-01-25,52,Warehouse 2,2025-01-17,52,Supplier E,9,207,192
17245-NEW-214-PAC,Packaging Materials Item 252,PACKAGING MATERIALS,2025-08-07,56,Warehouse 1,2025-08-03,56,Supplier A,3,124,112
55722-NEW-800-SPA,Spare Parts Item 59,SPARE PARTS,2024-06-21,22,Warehouse 3,2024-06-14,22,Supplier E,6,288,260
60662-NEW-240-RAW,Raw Materials Item 249,RAW MATERIALS,2024-07-17,83,Warehouse 1,2024-07-15,86,Supplier C,8,287,262
27566-NEW-738-SPA,Spare Parts Item 16,SPARE PARTS,2024-07-15,22,Warehouse 1,2024-07-05,36,Supplier B,3,228,208
21984-NEW-821-RAW,Raw Materials Item 239,RAW MATERIALS,2024-04-03,37,Warehouse 2,2024-04-01,46,Supplier C,10,163,145
27698-NEW-545-PAC,Packaging Materials Item 127,PACKAGING MATERIALS,2024-10-29,72,Warehouse 2,2024-10-20,86,Supplier B,8,182,152
80011-024-R00-MYS-DCP-0025ST-2.0G-PRM,TAG TBAG 025/2.0g/24 PREMIUM,FINISHED GOODS,2024-03-09,24,Warehouse 1,2024-02-29,33,Supplier E,4,516,525
82640-NEW-193-WOR,Work-In-Progress Item 405,WORK-IN-PROGRESS,2025-02-07,25,Warehouse 1,2025-02-01,34,Supplier D,4,232,211
44117-NEW-772-PAC,Packaging Materials Item 308,PACKAGING MATERIALS,2025-07-26,99,Warehouse 2,2025-07-21,105,Supplier D,6,255,240
66687-NEW-482-WOR,Work-In-Progress Item 105,WORK-IN-PROGRESS,2024-09-17,51,Warehouse 3,2024-09-12,51,Supplier D,4,110,95
80314-006-R00-IDN-EWI-0025FE-2.0G-EGOS,FOIL ENV TBAG 025/2.0g/06 EMERALD GREEN-ORGANIC SENCHA GREEN TEA,FINISHED GOODS,2024-04-21,6,Warehouse 1,2024-04-23,50,Supplier A,6,155,199
67397-NEW-760-WOR,Work-In-Progress Item 248,WORK-IN-PROGRESS,2024-03-04,89,Warehouse 2,2024-02-27,88,Supplier A,6,111,95
42094-NEW-027-RAW,Raw Materials Item 430,RAW MATERIALS,2025-05-28,12,Warehouse 1,2025-05-19,16,Supplier A,9,209,179
58693-NEW-066-WOR,Work-In-Progress Item 269,WORK-IN-PROGRESS,2024-07-06,59,Warehouse 2,2024-07-03,63,Supplier D,5,165,153
80342-012-R00-UZB-AZI-0025ST-2.0G-SGT,TAG TBAG 025/2.0g/12 SENCHA GREEN,FINISHED GOODS,2024-03-24,48,Warehouse 1,2024-03-17,40,Supplier E,10,130,122
72885-NEW-033-CON,Consumables Item 46,CONSUMABLES,2024-10-11,62,Warehouse 3,2024-10-02,60,Supplier A,7,275,263
69114-NEW-912-PAC,Packaging Materials Item 25,PACKAGING MATERIALS,2024-12-03,50,Warehouse 2,2024-11-27,58,Supplier B,4,199,176
10134-NEW-640-WOR,Work-In-Progress Item 311,WORK-IN-PROGRESS,2025-08-31,19,Warehouse 1,2025-08-22,21,Supplier E,8,184,179
26658-NEW-855-CON,Consumables Item 32,CONSUMABLES,2024-02-02,56,Warehouse 2,2024-01-27,70,Supplier E,10,283,254
27016-NEW-300-PAC,Packaging Materials Item 291,PACKAGING MATERIALS,2025-08-02,51,Warehouse 3,2025-07-24,59,Supplier D,9,151,142
35151-NEW-279-RAW,Raw Materials Item 338,RAW MATERIALS,2025-07-11,61,Warehouse 2,2025-07-07,76,Supplier C,10,157,135
43917-NEW-737-SPA,Spare Parts Item 391,SPARE PARTS,2025-09-19,92,Warehouse 3,2025-09-16,105,Supplier C,7,263,249
39902-NEW-067-SPA,Spare Parts Item 237,SPARE PARTS,2024-09-23,58,Warehouse 3,2024-09-14,71,Supplier B,7,126,115
59961-NEW-607-CON,Consumables Item 465,CONSUMABLES,2024-10-26,50,Warehouse 1,2024-10-22,54,Supplier D,7,124,105
60461-NEW-397-PAC,Packaging Materials Item 27,PACKAGING MATERIALS,2025-01-27,43,Warehouse 3,2025-01-19,45,Supplier B,6,107,82
77111-NEW-940-SPA,Spare Parts Item 405,SPARE PARTS,2024-07-10,50,Warehouse 2,2024-07-03,51,Supplier B,4,272,267
71835-NEW-618-PAC,Packaging Materials Item 273,PACKAGING MATERIALS,2025-01-08,75,Warehouse 2,2024-12-31,76,Supplier E,2,134,111
80440-012-R00-GRC-AFS-0020FE-1.5G-RH,FOIL ENV TBAG 020/1.5g/12 ROSEHIP,FINISHED GOODS,2024-07-24,49,Warehouse 1,2024-07-22,16,Supplier C,14,430,397
95735-NEW-787-SPA,Spare Parts Item 127,SPARE PARTS,2025-04-15,90,Warehouse 2,2025-04-06,101,Supplier D,5,254,244
21482-NEW-414-CON,Consumables Item 469,CONSUMABLES,2024-01-23,26,Warehouse 2,2024-01-14,23,Supplier B,9,255,242
88028-NEW-737-RAW,Raw Materials Item 471,RAW MATERIALS,2024-11-01,18,Warehouse 3,2024-10-24,13,Supplier B,4,229,207
